scale,alpha_S_T,alpha_T_S,gamma_S_T,gamma_T_S,alpha_gamma_combined_S_T,alpha_gamma_combined_T_S,loss_f_S,loss_f_T,gradient_loss
0.0,0.1485741287469864,0.1354236900806427,0.20680536329746246,0.3278917670249939,0.024475635960698128,0.03794729337096214,0.1505915983350728,0.06641585967712088,0.8733893657305547
0.1,0.14956587553024292,0.13722124695777893,0.14866864681243896,0.30156806111335754,0.01894211210310459,0.03606051951646805,0.1565099520737221,0.06641585967712088,0.8744253907500683
0.2,0.1494719237089157,0.1578073799610138,0.09441635757684708,0.24993900954723358,0.014445988461375237,0.03736322745680809,0.19304615236746858,0.06641585967712088,0.8773779082678124
0.30000000000000004,0.1531766653060913,0.1901523917913437,0.13380180299282074,0.237461119890213,0.029118306934833527,0.04547758027911186,0.2524020904088699,0.06641585967712088,0.8816896201726289
0.4,0.15421614050865173,0.2189708799123764,0.16619016230106354,0.24478882551193237,0.036765895783901215,0.055479180067777634,0.2941464594532119,0.06641585967712088,0.887684338929107
0.5,0.14874835312366486,0.24267509579658508,0.16887293756008148,0.24747075140476227,0.03442079946398735,0.06316102296113968,0.30756894899012904,0.06641585967712088,0.8941468488480212
0.6000000000000001,0.1415753960609436,0.2574273943901062,0.14827212691307068,0.2449004203081131,0.02912200428545475,0.06721897423267365,0.3084969549840273,0.06641585967712088,0.9000512458340851
0.7000000000000001,0.13273867964744568,0.2655000388622284,0.1124534010887146,0.23676040768623352,0.020568300038576126,0.0676303580403328,0.30628123756613396,0.06641585967712088,0.9049182667169372
0.8,0.12833134829998016,0.26673004031181335,0.0957292914390564,0.22476036846637726,0.01623135805130005,0.06453343480825424,0.3066452171807939,0.06641585967712088,0.9077990244732762
0.9,0.12038609385490417,0.26390939950942993,0.07735882699489594,0.2151070237159729,0.010710813105106354,0.060678813606500626,0.31498117121931973,0.06641585967712088,0.9093226590942947
