scale,alpha_S_T,alpha_T_S,gamma_S_T,gamma_T_S,alpha_gamma_combined_S_T,alpha_gamma_combined_T_S,loss_f_S,loss_f_T,gradient_loss
0.0,0.2973463833332062,0.2983640730381012,0.9676981568336487,0.9629025459289551,0.2941378653049469,0.29412272572517395,0.12380628648958926,0.06641585967712088,0.8601838729817279
0.1,0.2870054543018341,0.2899686098098755,0.9620464444160461,0.9474120736122131,0.28320544958114624,0.28318482637405396,0.1771133388080774,0.06641585967712088,0.8685984001754876
0.2,0.23302064836025238,0.24829544126987457,0.9027804732322693,0.8364951014518738,0.22490307688713074,0.22489994764328003,0.307594298464848,0.06641585967712088,0.8845171296198021
0.30000000000000004,0.17862136662006378,0.21586516499519348,0.7811065316200256,0.6484494805335999,0.159710094332695,0.1598799079656601,0.3859106734060377,0.06641585967712088,0.8962118890084764
0.4,0.1461540311574936,0.21243390440940857,0.634087324142456,0.4653281271457672,0.11200688034296036,0.11426149308681488,0.41926446953281865,0.06641585967712088,0.9026117232111793
0.5,0.12685644626617432,0.22357524931430817,0.44099435210227966,0.3118317425251007,0.06922373175621033,0.07913075387477875,0.4356854308203305,0.06641585967712088,0.9062240308241714
0.6000000000000001,0.11676742136478424,0.22793124616146088,0.23861372470855713,0.2045300006866455,0.0324893593788147,0.05167496204376221,0.4442498763024668,0.06641585967712088,0.90829092608703
0.7000000000000001,0.11308188736438751,0.22140207886695862,0.1516391932964325,0.13876675069332123,0.016388557851314545,0.033472102135419846,0.4492180368169016,0.06641585967712088,0.9094407127719489
0.8,0.11216990649700165,0.2116563767194748,0.12525975704193115,0.09896042197942734,0.011763419024646282,0.022777818143367767,0.45235186422973106,0.06641585967712088,0.9101067956708092
0.9,0.11144617944955826,0.20174051821231842,0.11158772557973862,0.07465255260467529,0.01006804034113884,0.01665346510708332,0.4544716260297439,0.06641585967712088,0.9105102630765736
