scale,alpha_S_T,alpha_T_S,gamma_S_T,gamma_T_S,alpha_gamma_combined_S_T,alpha_gamma_combined_T_S,loss_f_S,loss_f_T,gradient_loss
0.0,0.09848321229219437,0.09848321229219437,0.6497166156768799,0.6497166156768799,0.06442687660455704,0.06442687660455704,0.06639620059772303,0.06641585967712088,8.485281037951135e-06
0.1,0.09845096617937088,0.11668392270803452,0.6333768367767334,0.572016716003418,0.06805361062288284,0.06748443841934204,0.12528658588233513,0.06641585967712088,0.29164722943495935
0.2,0.1678043007850647,0.16865667700767517,0.5118548274040222,0.4711363613605499,0.11033652722835541,0.08320070803165436,0.2666398464563708,0.06641585967712088,0.6377710020027951
0.30000000000000004,0.1738777458667755,0.194259911775589,0.2857874035835266,0.42650559544563293,0.0721292495727539,0.08636116236448288,0.36396409534390706,0.06641585967712088,0.8355469157767479
0.4,0.15226778388023376,0.206503227353096,0.14299194514751434,0.385597825050354,0.026727167889475822,0.08177661895751953,0.40675674524792765,0.06641585967712088,0.8938150785560247
0.5,0.13339243829250336,0.22414281964302063,0.10660778731107712,0.3452203869819641,0.0140264593064785,0.0794234499335289,0.4242780907367125,0.06641585967712088,0.9064709294698811
0.6000000000000001,0.12211201339960098,0.23936282098293304,0.09859418869018555,0.31429365277290344,0.01136873010545969,0.07769205421209335,0.4325512217911744,0.06641585967712088,0.9093142730592787
0.7000000000000001,0.11701390147209167,0.2444683313369751,0.0938023179769516,0.29001468420028687,0.009738552384078503,0.07375768572092056,0.4369613362684407,0.06641585967712088,0.9102179853647713
0.8,0.11345720291137695,0.2419736087322235,0.08283878862857819,0.26900798082351685,0.00768243707716465,0.06807125359773636,0.4396747793053379,0.06641585967712088,0.910608802452663
0.9,0.11130474507808685,0.23591847717761993,0.0776083767414093,0.24925534427165985,0.006675424985587597,0.061856865882873535,0.44158052700579015,0.06641585967712088,0.9108406011074952
